FileName,Species,prediction,score,Label
714098179.jpg,Monarch,1,0.9999808,Non_feeding
714062001.jpg,Monarch,1,0.17563467,Non_feeding
713991984.jpg,Monarch,1,0.95122147,Feeding
713869861.jpg,Monarch,0,0.00019108882,Feeding
713879924.jpg,Monarch,1,0.89498925,Non_feeding
713807526.jpg,Monarch,1,0.9988685,Non_feeding
713777735.jpg,Monarch,1,0.8341409,Feeding
713769708.jpg,Monarch,1,0.9997721,Non_feeding
713700278.jpg,Monarch,1,0.9999224,Non_feeding
713700284.jpg,Monarch,1,0.9999505,Non_feeding
713579205.jpg,Monarch,1,0.10663189,Feeding
713576048.jpg,Monarch,1,0.9999939,Non_feeding
713574921.jpg,Monarch,1,0.98591423,Non_feeding
713517234.jpg,Monarch,1,0.9999325,Non_feeding
713499216.jpg,Monarch,1,0.8632209,Non_feeding
713497817.jpg,Monarch,1,0.1836601,Feeding
713456926.jpg,Monarch,1,0.999998,Feeding
713439388.jpg,Monarch,1,0.9999964,Feeding
713418717.jpg,Monarch,1,0.99996257,Non_feeding
713416396.jpg,Monarch,1,0.21936823,Feeding
713382814.jpg,Monarch,1,0.99999845,Non_feeding
713383165.jpg,Monarch,0,3.492463e-05,Non_feeding
713369327.jpg,Monarch,0,0.00044751714,Non_feeding
713360230.jpg,Monarch,1,0.20824996,Non_feeding
713360152.jpg,Monarch,0,0.048352078,Non_feeding
713359186.jpg,Monarch,0,0.0026599006,Feeding
713335175.jpg,Monarch,1,0.53716624,Feeding
713280314.jpg,Monarch,0,0.060344364,Feeding
713271549.jpg,Monarch,1,1.0,Feeding
713252309.jpg,Monarch,1,0.9944881,Feeding
713257675.jpg,Monarch,1,1.0,Feeding
713237963.jpg,Monarch,0,0.0008439054,Feeding
713231466.jpg,Monarch,1,0.9506693,Non_feeding
713193650.jpg,Monarch,1,0.47068256,Feeding
713177709.jpg,Monarch,0,0.03412138,Feeding
713177136.jpg,Monarch,1,0.24084106,Non_feeding
713150506.jpg,Monarch,0,0.084776625,Feeding
713150099.jpg,Monarch,1,0.9999999,Non_feeding
713141320.jpg,Monarch,1,0.98003334,Non_feeding
713136039.jpg,Monarch,1,1.0,Non_feeding
713129502.jpg,Monarch,1,0.89792556,Non_feeding
713111076.jpg,Monarch,1,0.12311533,Non_feeding
