split,reason,image_path,label,source,file,FileName
feeding/test1,same_session,data/images/bimby2024/68Dxllirdq.jpg,F,bimby_collection,,68Dxllirdq.jpg
feeding/test1,same_session,data/images/bimby2024/esR4jtAvxb.jpg,F,bimby_collection,,esR4jtAvxb.jpg
feeding/test1,same_session,data/images/bimby2024/hm7H0EPpUq.jpg,F,bimby_collection,,hm7H0EPpUq.jpg
feeding/test1,same_session,data/images/bimby2024/NALL3X6ZZE.jpg,F,bimby_collection,,NALL3X6ZZE.jpg
feeding/test1,missing_image,data/images/bimby2024/nqXJhBLhUv.jpg.jpeg,NF,inat_2024,,nqXJhBLhUv.jpg.jpeg
feeding/test1,missing_image,data/images/bimby2024/4bKi1WNVxq.jpg,F,bimby_collection,,4bKi1WNVxq.jpg
feeding/test1,missing_image,data/images/bimby2024/BimbyNewImageUrls.csv,F,bimby_collection,,BimbyNewImageUrls.csv
feeding/test1,in_dev_pool,data/images/bimby2024/03o2Vm6k49.jpg,F,bimby_collection,,03o2Vm6k49.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/06wUxwgKEH.jpg,F,bimby_collection,,06wUxwgKEH.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0A5g9CDtGA.jpg,F,bimby_collection,,0A5g9CDtGA.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0BI0IGWhHd.jpg,F,bimby_collection,,0BI0IGWhHd.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0bvLxG55x5.jpg,F,bimby_collection,,0bvLxG55x5.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0DeCUTS4oE.jpg,F,bimby_collection,,0DeCUTS4oE.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0DrP0jAArJ.jpg,F,bimby_collection,,0DrP0jAArJ.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0G7WFATUO3.jpg,F,bimby_collection,,0G7WFATUO3.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0goyvvcfD9.jpg,F,bimby_collection,,0goyvvcfD9.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0HmTkV3BmG.jpg,F,bimby_collection,,0HmTkV3BmG.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0in8NTPAxv.jpg,F,bimby_collection,,0in8NTPAxv.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0LzqFwM3vI.jpg,F,bimby_collection,,0LzqFwM3vI.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0MljARXQpc.jpg,F,bimby_collection,,0MljARXQpc.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0ngOJNQn2E.jpg,F,bimby_collection,,0ngOJNQn2E.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0NHgwugR2R.jpg,F,bimby_collection,,0NHgwugR2R.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0NuFKC9h22.jpg,F,bimby_collection,,0NuFKC9h22.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0NxfemUwKB.jpg,F,bimby_collection,,0NxfemUwKB.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0osoyc0SX5.jpg,F,bimby_collection,,0osoyc0SX5.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0OyeXFUAPE.jpg,F,bimby_collection,,0OyeXFUAPE.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0QAF6AZyzh.jpg,F,bimby_collection,,0QAF6AZyzh.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0R8ciOr30d.jpg,F,bimby_collection,,0R8ciOr30d.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0RurbEWhrP.jpg,F,bimby_collection,,0RurbEWhrP.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0SESl9BJ8b.jpg,F,bimby_collection,,0SESl9BJ8b.jpg
feeding/test1,in_dev_pool,data/images/bimby2024/0SkffDvNf1.jpg,F,bimby_collection,,0SkffDvNf1.jpg
