epoch,accuracy,loss,val_accuracy,val_loss
0,0.908723771572113,0.24475927650928497,0.5807860493659973,47.64207077026367
1,0.9606893062591553,0.11472442001104355,0.8788209557533264,0.6218044757843018
2,0.9663435816764832,0.09015603363513947,0.9366812109947205,0.25073137879371643
3,0.9741518497467041,0.07806941866874695,0.9159388542175293,0.4026569426059723
4,0.979806125164032,0.05673282966017723,0.9541484713554382,0.20770689845085144
5,0.9612277746200562,0.10749492049217224,0.7445414662361145,1.7902144193649292
6,0.9711900949478149,0.08065309375524521,0.6626637578010559,13.925816535949707
7,0.9728056192398071,0.08095864951610565,0.875545859336853,0.5700273513793945
8,0.9803446531295776,0.05657639354467392,0.9563318490982056,0.13602286577224731
9,0.9819601774215698,0.057340480387210846,0.9585152864456177,0.16835534572601318
