FileName,Label,SuperimposedFile,
408406469.jpg,Leucanthemum_vulgare,superimposed_408406469.jpg,
460895105.jpg,Leucanthemum_vulgare,superimposed_460895105.jpg,
439562410.jpg,Leucanthemum_vulgare,superimposed_439562410.jpg,
402133459.jpg,Leucanthemum_vulgare,superimposed_402133459.jpg,
453027816.jpg,Leucanthemum_vulgare,,NA
411231169.jpg,Leucanthemum_vulgare,superimposed_411231169.jpg,
408380817.jpg,Leucanthemum_vulgare,superimposed_408380817.jpg,
440179215.jpg,Leucanthemum_vulgare,,NA
467705267.jpg,Leucanthemum_vulgare,,NA
459150178.jpg,Leucanthemum_vulgare,superimposed_459150178.jpg,
401480210.jpg,Leucanthemum_vulgare,superimposed_401480210.jpg,
401347330.jpg,Leucanthemum_vulgare,superimposed_401347330.jpg,
426686350.jpg,Leucanthemum_vulgare,superimposed_426686350.jpg,
438528075.jpg,Leucanthemum_vulgare,,NA
470613410.jpg,Leucanthemum_vulgare,superimposed_470613410.jpg,
412554416.jpg,Leucanthemum_vulgare,superimposed_412554416.jpg,
433910758.jpg,Leucanthemum_vulgare,superimposed_433910758.jpg,
465297547.jpg,Leucanthemum_vulgare,superimposed_465297547.jpg,
401196616.jpg,Leucanthemum_vulgare,superimposed_401196616.jpg,
423935289.jpg,Leucanthemum_vulgare,,NA
453472119.jpg,Leucanthemum_vulgare,superimposed_453472119.jpg,
420335228.jpg,Leucanthemum_vulgare,superimposed_420335228.jpg,
444346259.jpg,Leucanthemum_vulgare,superimposed_444346259.jpg,
470305251.jpg,Leucanthemum_vulgare,superimposed_470305251.jpg,
462095377.jpg,Leucanthemum_vulgare,,NA
430886919.jpg,Leucanthemum_vulgare,superimposed_430886919.jpg,
405608271.jpg,Leucanthemum_vulgare,superimposed_405608271.jpg,
444804269.jpg,Leucanthemum_vulgare,,NA
402907772.jpg,Leucanthemum_vulgare,superimposed_402907772.jpg,
408612557.jpg,Leucanthemum_vulgare,superimposed_408612557.jpg,
402705567.jpg,Leucanthemum_vulgare,superimposed_402705567.jpg,
402903975.jpg,Leucanthemum_vulgare,superimposed_402903975.jpg,
459303773.jpg,Leucanthemum_vulgare,,NA
463540263.jpg,Leucanthemum_vulgare,superimposed_463540263.jpg,
448197448.jpg,Leucanthemum_vulgare,,NA
401744831.jpg,Leucanthemum_vulgare,,NA
